Category,Subcategory,Product Name,Brand,Unit,MRP,Price,Stock,Description
Vegetable Seeds,Tomato,Tomato Hybrid Seeds,VNR,10g,60,47,77,High-germination hybrid tomato seeds for home gardens and commercial farms.
Vegetable Seeds,Tomato,Tomato Open-Pollinated Seeds,Mahyco,Pack of 50 seeds,75,62,149,High-germination open-pollinated tomato seeds for home gardens and commercial farms.
Vegetable Seeds,Tomato,Tomato Desi (Native) Seeds,IGO Seeds,10g,45,35,163,High-germination desi (native) tomato seeds for home gardens and commercial farms.
Vegetable Seeds,Brinjal (Eggplant),Brinjal (Eggplant) Hybrid Seeds,Mahyco,Pack of 50 seeds,120,95,103,High-germination hybrid brinjal (eggplant) seeds for home gardens and commercial farms.
Vegetable Seeds,Brinjal (Eggplant),Brinjal (Eggplant) Open-Pollinated Seeds,Syngenta,10g,150,125,243,High-germination open-pollinated brinjal (eggplant) seeds for home gardens and commercial farms.
Vegetable Seeds,Brinjal (Eggplant),Brinjal (Eggplant) Desi (Native) Seeds,IGO Seeds,25g,60,42,188,High-germination desi (native) brinjal (eggplant) seeds for home gardens and commercial farms.
Vegetable Seeds,Chilli,Chilli Hybrid Seeds,Indo-American,Pack of 50 seeds,60,49,197,High-germination hybrid chilli seeds for home gardens and commercial farms.
Vegetable Seeds,Chilli,Chilli Open-Pollinated Seeds,Namdhari,25g,45,37,230,High-germination open-pollinated chilli seeds for home gardens and commercial farms.
Vegetable Seeds,Chilli,Chilli Desi (Native) Seeds,Mahyco,Pack of 50 seeds,120,102,70,High-germination desi (native) chilli seeds for home gardens and commercial farms.
Vegetable Seeds,Okra (Bhendi),Okra (Bhendi) Hybrid Seeds,Syngenta,100g,99,84,200,High-germination hybrid okra (bhendi) seeds for home gardens and commercial farms.
Vegetable Seeds,Okra (Bhendi),Okra (Bhendi) Open-Pollinated Seeds,Pahuja,50g,120,108,193,High-germination open-pollinated okra (bhendi) seeds for home gardens and commercial farms.
Vegetable Seeds,Okra (Bhendi),Okra (Bhendi) Desi (Native) Seeds,Syngenta,25g,180,133,81,High-germination desi (native) okra (bhendi) seeds for home gardens and commercial farms.
Vegetable Seeds,Onion,Onion Hybrid Seeds,East-West (Known-You),50g,120,97,269,High-germination hybrid onion seeds for home gardens and commercial farms.
Vegetable Seeds,Onion,Onion Open-Pollinated Seeds,East-West (Known-You),10g,120,109,254,High-germination open-pollinated onion seeds for home gardens and commercial farms.
Vegetable Seeds,Onion,Onion Desi (Native) Seeds,Namdhari,100g,180,139,255,High-germination desi (native) onion seeds for home gardens and commercial farms.
Vegetable Seeds,Cabbage,Cabbage Hybrid Seeds,IGO Seeds,Pack of 50 seeds,150,107,200,High-germination hybrid cabbage seeds for home gardens and commercial farms.
Vegetable Seeds,Cabbage,Cabbage Open-Pollinated Seeds,VNR,100g,150,116,273,High-germination open-pollinated cabbage seeds for home gardens and commercial farms.
Vegetable Seeds,Cabbage,Cabbage Desi (Native) Seeds,Mahyco,50g,180,129,282,High-germination desi (native) cabbage seeds for home gardens and commercial farms.
Vegetable Seeds,Cauliflower,Cauliflower Hybrid Seeds,Mahyco,50g,45,38,268,High-germination hybrid cauliflower seeds for home gardens and commercial farms.
Vegetable Seeds,Cauliflower,Cauliflower Open-Pollinated Seeds,East-West (Known-You),50g,150,117,51,High-germination open-pollinated cauliflower seeds for home gardens and commercial farms.
Vegetable Seeds,Cauliflower,Cauliflower Desi (Native) Seeds,Pahuja,10g,75,55,292,High-germination desi (native) cauliflower seeds for home gardens and commercial farms.
Vegetable Seeds,Carrot,Carrot Hybrid Seeds,IGO Seeds,25g,60,52,166,High-germination hybrid carrot seeds for home gardens and commercial farms.
Vegetable Seeds,Carrot,Carrot Open-Pollinated Seeds,Indo-American,100g,99,89,81,High-germination open-pollinated carrot seeds for home gardens and commercial farms.
Vegetable Seeds,Carrot,Carrot Desi (Native) Seeds,Namdhari,50g,99,78,110,High-germination desi (native) carrot seeds for home gardens and commercial farms.
Vegetable Seeds,Radish,Radish Hybrid Seeds,Indo-American,100g,180,147,223,High-germination hybrid radish seeds for home gardens and commercial farms.
